Gemeinde,Kanton,Bezirk,Anhänger_Anderer,Anhänger_Benzin,Anhänger_Benzin-elektrisch: Normal-Hybrid,Anhänger_Benzin-elektrisch: Plug-in-Hybrid,Anhänger_Diesel,Anhänger_Diesel-elektrisch: Normal-Hybrid,Anhänger_Diesel-elektrisch: Plug-in-Hybrid,Anhänger_Elektrisch,Anhänger_Gas (mono- und bivalent),Anhänger_Ohne Motor,Anhänger_Wasserstoff,Industriefahrzeuge_Anderer,Industriefahrzeuge_Benzin,Industriefahrzeuge_Benzin-elektrisch: Normal-Hybrid,Industriefahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Diesel,Industriefahrzeuge_Diesel-elektrisch: Normal-Hybrid,Industriefahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Elektrisch,Industriefahrzeuge_Gas (mono- und bivalent),Industriefahrzeuge_Ohne Motor,Industriefahrzeuge_Wasserstoff,Landwirtschaftsfahrzeuge_Anderer,Landwirtschaftsfahrzeuge_Benzin,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Diesel,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Elektrisch,Landwirtschaftsfahrzeuge_Gas (mono- und bivalent),Landwirtschaftsfahrzeuge_Ohne Motor,Landwirtschaftsfahrzeuge_Wasserstoff,Motorräder_Anderer,Motorräder_Benzin,Motorräder_Benzin-elektrisch: Normal-Hybrid,Motorräder_Benzin-elektrisch: Plug-in-Hybrid,Motorräder_Diesel,Motorräder_Diesel-elektrisch: Normal-Hybrid,Motorräder_Diesel-elektrisch: Plug-in-Hybrid,Motorräder_Elektrisch,Motorräder_Gas (mono- und bivalent),Motorräder_Ohne Motor,Motorräder_Wasserstoff,Personentransportfahrzeuge_Anderer,Personentransportfahrzeuge_Benzin,Personentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Diesel,Personentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Elektrisch,Personentransportfahrzeuge_Gas (mono- und bivalent),Personentransportfahrzeuge_Ohne Motor,Personentransportfahrzeuge_Wasserstoff,Personenwagen_Anderer,Personenwagen_Benzin,Personenwagen_Benzin-elektrisch: Normal-Hybrid,Personenwagen_Benzin-elektrisch: Plug-in-Hybrid,Personenwagen_Diesel,Personenwagen_Diesel-elektrisch: Normal-Hybrid,Personenwagen_Diesel-elektrisch: Plug-in-Hybrid,Personenwagen_Elektrisch,Personenwagen_Gas (mono- und bivalent),Personenwagen_Ohne Motor,Personenwagen_Wasserstoff,Sachentransportfahrzeuge_Anderer,Sachentransportfahrzeuge_Benzin,Sachentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Diesel,Sachentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Elektrisch,Sachentransportfahrzeuge_Gas (mono- und bivalent),Sachentransportfahrzeuge_Ohne Motor,Sachentransportfahrzeuge_Wasserstoff
Rorschacherberg,St. Gallen,Wahlkreis Rorschach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001761040368463831,0.0,0.0,0.0,0.0,0.0,0.000135464643727987,0.0,0.0,0.000135464643727987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270929287455974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00582497968030344,0.0,0.0,0.0,0.0,0.0,0.000677323218639935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000677323218639935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02167434299647792,0.002980222162015714,0.000541858574911948,0.007586020048767272,0.000406393931183961,0.0,0.000541858574911948,0.000135464643727987,0.0,0.0,0.0,0.000135464643727987,0.0,0.0,0.001896505012191818,0.0,0.0,0.0,0.0,0.0,0.0
Steinach,St. Gallen,Wahlkreis Rorschach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008314855875831486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0002771618625277162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016629711751662971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03270509977827051,0.0008314855875831486,0.0002771618625277162,0.017184035476718405,0.0008314855875831486,0.0,0.0036031042128603103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019401330376940134,0.0,0.0,0.0,0.0,0.0,0.0
Tï¿½bach,St. Gallen,Wahlkreis Rorschach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006954102920723226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006954102920723226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027816411682892906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013908205841446453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02364394993045897,0.0006954102920723226,0.0,0.01043115438108484,0.0006954102920723226,0.0,0.0034770514603616135,0.0,0.0,0.0,0.0,0.0006954102920723226,0.0,0.0,0.01321279554937413,0.0,0.0,0.0,0.0,0.0,0.0
Untereggen,St. Gallen,Wahlkreis Rorschach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057361376673040155,0.0,0.0,0.0,0.0,0.0,0.0009560229445506692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057361376673040155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028680688336520078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014340344168260038,0.0009560229445506692,0.0009560229445506692,0.0057361376673040155,0.0,0.0,0.0028680688336520078,0.0,0.0,0.0,0.0,0.0009560229445506692,0.0,0.0,0.0057361376673040155,0.0,0.0,0.0,0.0,0.0,0.0
Auswil,Bern / Berne,Verwaltungskreis Oberaargau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.022727272727272728,0.0,0.006818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bannwil,Bern / Berne,Verwaltungskreis Oberaargau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030257186081694403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015128593040847202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045385779122541605,0.0,0.0,0.0,0.0,0.0,0.0015128593040847202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783661119515885,0.0,0.0,0.13010590015128592,0.0,0.0,0.01664145234493192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006051437216338881,0.0,0.0,0.0,0.0,0.0,0.0
Au (SG),St. Gallen,Wahlkreis Rheintal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016647458061211423,0.0,0.0,0.0,0.0,0.0,0.00012805736970162632,0.0,0.0,0.00012805736970162632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025611473940325265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006146753745678064,0.0,0.0,0.00012805736970162632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005122294788065053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028684850813164298,0.0028172621334357794,0.0005122294788065053,0.015110769624791907,0.000768344218209758,0.0,0.002048917915226021,0.000384172109104879,0.0,0.0,0.0,0.00025611473940325265,0.0,0.0,0.00384172109104879,0.0,0.0,0.00025611473940325265,0.0,0.0,0.0
Balgach,St. Gallen,Wahlkreis Rheintal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012267429973420569,0.0,0.0,0.0,0.0,0.0,0.00020445716622367614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008178286648947046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020445716622367613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006133714986710284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022490288284604375,0.0008178286648947046,0.0,0.0049069719893682275,0.00020445716622367614,0.0,0.0028624003271314658,0.0,0.0,0.0,0.0,0.00020445716622367614,0.0,0.0,0.0034757718258024944,0.0,0.0,0.0,0.0,0.0,0.0
Berneck,St. Gallen,Wahlkreis Rheintal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007876016260162601,0.0,0.0,0.0,0.0,0.0,0.00025406504065040653,0.0,0.0,0.00025406504065040653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007113821138211382,0.0,0.0,0.0,0.0,0.0,0.00025406504065040653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022865853658536585,0.0010162601626016261,0.0007621951219512195,0.008384146341463415,0.0005081300813008131,0.0,0.0020325203252032522,0.0,0.0,0.0,0.0,0.0007621951219512195,0.0,0.0,0.0063516260162601625,0.0,0.0,0.0,0.0,0.0,0.0
Diepoldsau,St. Gallen,Wahlkreis Rheintal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030935808197989174,0.0,0.0,0.0,0.0,0.0,0.0003093580819798917,0.0,0.0,0.00015467904098994585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003093580819798917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005104408352668214,0.0,0.0,0.0,0.0,0.0,0.0004640371229698376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009280742459396752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017014694508894045,0.001082753286929621,0.00015467904098994585,0.008816705336426913,0.0007733952049497294,0.0,0.0009280742459396752,0.0003093580819798917,0.0,0.0,0.0,0.00015467904098994585,0.0,0.0,0.0038669760247486465,0.0,0.0,0.0,0.0,0.0,0.0
Rheineck,St. Gallen,Wahlkreis Rheintal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038257798705120657,0.0,0.0,0.0,0.0,0.0,0.0005885815185403178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044143613890523835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005885815185403178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02118893466745144,0.0011771630370806356,0.0002942907592701589,0.009123013537374927,0.0008828722778104767,0.0,0.0002942907592701589,0.0,0.0,0.0,0.0,0.0002942907592701589,0.0,0.0,0.003237198351971748,0.0,0.0,0.0,0.0,0.0,0.0
St. Margrethen,St. Gallen,Wahlkreis Rheintal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026845637583892616,0.0,0.0,0.0,0.0,0.0,0.0003355704697986577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016778523489932885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002181208053691275,0.0,0.0,0.0,0.0,0.0,0.0003355704697986577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016778523489932885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015268456375838926,0.0018456375838926174,0.00016778523489932885,0.008221476510067114,0.0003355704697986577,0.0,0.0003355704697986577,0.00016778523489932885,0.0,0.0,0.0,0.00016778523489932885,0.0,0.0,0.003691275167785235,0.0,0.0,0.0,0.0,0.0,0.0
Thal,St. Gallen,Wahlkreis Rorschach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00456968773800457,0.0,0.0,0.0,0.0,0.0,0.0003046458492003046,0.0,0.0,0.0001523229246001523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005178979436405179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012185833968012185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019954303122619955,0.002284843869002285,0.0007616146230007616,0.007463823305407464,0.0,0.0,0.0009139375476009139,0.0,0.0,0.0,0.0,0.0006092916984006092,0.0,0.0,0.0070068545316070065,0.0,0.0,0.0,0.0,0.0,0.0
Widnau,St. Gallen,Wahlkreis Rheintal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024600246002460025,0.0,0.0,0.0,0.0,0.0,0.0001025010250102501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001025010250102501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036900369003690036,0.0,0.0,0.0001025010250102501,0.0,0.0,0.0003075030750307503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004100041000410004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01978269782697827,0.0008200082000820008,0.0003075030750307503,0.00984009840098401,0.0004100041000410004,0.0,0.0024600246002460025,0.0002050020500205002,0.0,0.0,0.0,0.0005125051250512505,0.0,0.0,0.004612546125461255,0.0,0.0,0.0,0.0,0.0,0.0
Bleienbach,Bern / Berne,Verwaltungskreis Oberaargau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402524544179523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004207573632538569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005610098176718092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012622720897615708,0.002805049088359046,0.0,0.005610098176718092,0.001402524544179523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002805049088359046,0.0,0.0,0.0,0.0,0.0,0.0
