Gemeinde,Kanton,Bezirk,Anhänger_Anderer,Anhänger_Benzin,Anhänger_Benzin-elektrisch: Normal-Hybrid,Anhänger_Benzin-elektrisch: Plug-in-Hybrid,Anhänger_Diesel,Anhänger_Diesel-elektrisch: Normal-Hybrid,Anhänger_Diesel-elektrisch: Plug-in-Hybrid,Anhänger_Elektrisch,Anhänger_Gas (mono- und bivalent),Anhänger_Ohne Motor,Anhänger_Wasserstoff,Industriefahrzeuge_Anderer,Industriefahrzeuge_Benzin,Industriefahrzeuge_Benzin-elektrisch: Normal-Hybrid,Industriefahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Diesel,Industriefahrzeuge_Diesel-elektrisch: Normal-Hybrid,Industriefahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Elektrisch,Industriefahrzeuge_Gas (mono- und bivalent),Industriefahrzeuge_Ohne Motor,Industriefahrzeuge_Wasserstoff,Landwirtschaftsfahrzeuge_Anderer,Landwirtschaftsfahrzeuge_Benzin,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Diesel,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Elektrisch,Landwirtschaftsfahrzeuge_Gas (mono- und bivalent),Landwirtschaftsfahrzeuge_Ohne Motor,Landwirtschaftsfahrzeuge_Wasserstoff,Motorräder_Anderer,Motorräder_Benzin,Motorräder_Benzin-elektrisch: Normal-Hybrid,Motorräder_Benzin-elektrisch: Plug-in-Hybrid,Motorräder_Diesel,Motorräder_Diesel-elektrisch: Normal-Hybrid,Motorräder_Diesel-elektrisch: Plug-in-Hybrid,Motorräder_Elektrisch,Motorräder_Gas (mono- und bivalent),Motorräder_Ohne Motor,Motorräder_Wasserstoff,Personentransportfahrzeuge_Anderer,Personentransportfahrzeuge_Benzin,Personentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Diesel,Personentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Elektrisch,Personentransportfahrzeuge_Gas (mono- und bivalent),Personentransportfahrzeuge_Ohne Motor,Personentransportfahrzeuge_Wasserstoff,Personenwagen_Anderer,Personenwagen_Benzin,Personenwagen_Benzin-elektrisch: Normal-Hybrid,Personenwagen_Benzin-elektrisch: Plug-in-Hybrid,Personenwagen_Diesel,Personenwagen_Diesel-elektrisch: Normal-Hybrid,Personenwagen_Diesel-elektrisch: Plug-in-Hybrid,Personenwagen_Elektrisch,Personenwagen_Gas (mono- und bivalent),Personenwagen_Ohne Motor,Personenwagen_Wasserstoff,Sachentransportfahrzeuge_Anderer,Sachentransportfahrzeuge_Benzin,Sachentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Diesel,Sachentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Elektrisch,Sachentransportfahrzeuge_Gas (mono- und bivalent),Sachentransportfahrzeuge_Ohne Motor,Sachentransportfahrzeuge_Wasserstoff
Aeugst am Albis,Zï¿½rich,Bezirk Affoltern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020191822311963654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024230186774356385,0.0035335689045936395,0.0010095911155981827,0.005552751135790005,0.0,0.0,0.005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0
Obfelden,Zï¿½rich,Bezirk Affoltern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024471246285614405,0.0,0.0,0.0,0.0,0.0,0.0003495892326516343,0.0,0.0,0.00017479461632581716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005243838489774515,0.0,0.0,0.0,0.0,0.0,0.0008739730816290859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008739730816290859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922740779583989,0.0015731515469323545,0.0005243838489774515,0.007341373885684321,0.0003495892326516343,0.0,0.002272330012235623,0.0,0.0,0.0,0.0,0.00017479461632581716,0.0,0.0,0.0026219192448872575,0.0,0.0,0.0,0.0,0.0,0.0
Stadel,Zï¿½rich,Bezirk Dielsdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039249890972525075,0.0,0.0,0.0,0.0,0.0,0.0008722197993894462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004361098996947231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004797208896641954,0.0,0.0,0.0,0.0,0.0,0.0004361098996947231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004361098996947231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026602703881378108,0.0026166593981683385,0.0008722197993894462,0.013083296990841693,0.0008722197993894462,0.0,0.0026166593981683385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013083296990841692,0.0,0.0,0.0,0.0,0.0,0.0
Doppleschwand,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025348542458808617,0.0,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005069708491761723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021546261089987327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0
Entlebuch,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00701219512195122,0.0,0.0,0.0,0.0,0.0,0.0003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002134146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006707317073170732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064024390243902435,0.0006097560975609756,0.0,0.0064024390243902435,0.0003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0003048780487804878,0.0,0.0,0.0024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0
Flï¿½hli,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005184033177812338,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0010368066355624676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002592016588906169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010368066355624676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015552099533437015,0.002592016588906169,0.0,0.010368066355624676,0.0005184033177812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0,0.0,0.0,0.0
Hasle (LU),Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009792626728110598,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001152073732718894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01728110599078341,0.001152073732718894,0.0,0.00576036866359447,0.0,0.0,0.001152073732718894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0
Romoos,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006069802731411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006069802731411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004552352048558422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0015174506828528073,0.0,0.0030349013657056147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009104704097116844,0.0,0.0,0.0,0.0,0.0,0.0
Schï¿½pfheim,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005943889681407513,0.0,0.0,0.0,0.0,0.0,0.0007132667617689016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011887779362815027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021398002853067048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009510223490252021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00903471231573942,0.0019020446980504042,0.0,0.004992867332382311,0.00047551117451260106,0.0,0.00047551117451260106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014265335235378032,0.0,0.0,0.0,0.0,0.0,0.0
Werthenstein,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003211009174311927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011926605504587157,0.001834862385321101,0.0,0.0045871559633027525,0.0,0.0,0.00045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006422018348623854,0.0,0.0,0.00045871559633027525,0.0,0.0,0.0
Steinmaur,Zï¿½rich,Bezirk Dielsdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036021058464948737,0.0,0.0,0.0002770850651149903,0.0,0.0,0.0002770850651149903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002770850651149903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004433361041839845,0.0,0.0,0.0002770850651149903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011083402604599613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024660570795234135,0.002770850651149903,0.0008312551953449709,0.00942089221390967,0.0,0.0,0.0016625103906899418,0.0002770850651149903,0.0,0.0,0.0,0.0002770850651149903,0.0,0.0,0.0019395954558049321,0.0,0.0,0.0,0.0,0.0,0.0
Escholzmatt-Marbach,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005515973339462192,0.0,0.0,0.0,0.0,0.0,0.0004596644449551827,0.0,0.0,0.00022983222247759135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000689496667432774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004826476672029419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022983222247759135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075844633417605145,0.000689496667432774,0.0,0.004826476672029419,0.0004596644449551827,0.0,0.001378993334865548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004596644449551827,0.0,0.0,0.0,0.0,0.0,0.0
Weiach,Zï¿½rich,Bezirk Dielsdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010509721492380452,0.0,0.0,0.0,0.0,0.0,0.0005254860746190226,0.0,0.0,0.0005254860746190226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005254860746190226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006305832895428271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027325275880189175,0.002627430373095113,0.0,0.01418812401471361,0.0,0.0,0.002627430373095113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015764582238570678,0.0,0.0,0.0,0.0,0.0,0.0
Aesch (LU),Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023828435266084196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007942811755361397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003177124702144559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007942811755361397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017474185861795076,0.0023828435266084196,0.0,0.006354249404289118,0.0,0.0,0.003971405877680699,0.0,0.0,0.0,0.0,0.0007942811755361397,0.0,0.0,0.0023828435266084196,0.0,0.0,0.0,0.0,0.0,0.0
Ballwil,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004059040590405904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001107011070110701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007011070110701107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002214022140221402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012177121771217712,0.0033210332103321034,0.0,0.007380073800738007,0.00036900369003690036,0.0,0.0025830258302583027,0.0,0.0,0.0,0.0,0.00036900369003690036,0.0,0.0,0.0036900369003690036,0.0,0.0,0.00036900369003690036,0.0,0.0,0.0
Emmen,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001578455690493831,0.0,0.0,6.442676287729922e-05,0.0,0.0,0.0007409077730889411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.442676287729922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005282994555938537,0.0,0.0,0.0,0.0,0.0,9.664014431594885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008053345359662404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01861933447153948,0.0009664014431594885,0.0002577070515091969,0.008182198885417002,0.0004509873401410946,0.0,0.0006764810102116419,9.664014431594885e-05,0.0,0.0,0.0,0.0002254936700705473,0.0,0.0,0.003736752246883355,0.0,0.0,0.0,0.0,0.0,0.0
Ermensee,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008088978766430738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010111223458038423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004044489383215369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010111223458038423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007077856420626896,0.0020222446916076846,0.0,0.007077856420626896,0.0,0.0,0.0020222446916076846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005055611729019211,0.0,0.0,0.0,0.0,0.0,0.0
Eschenbach (LU),Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004962779156327543,0.0,0.0,0.0,0.0,0.0,0.0011028398125172319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008271298593879239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008271298593879239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018196856906534328,0.0011028398125172319,0.0,0.008547008547008548,0.0005514199062586159,0.0,0.0013785497656465398,0.0,0.0,0.0,0.0,0.00027570995312930797,0.0,0.0,0.005514199062586159,0.0,0.0,0.00027570995312930797,0.0,0.0,0.0
Hitzkirch,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030727210652099694,0.0,0.0,0.0,0.0,0.0,0.0008535336292249915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001707067258449983,0.0,0.0,0.0015363605326049847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003414134516899966,0.0,0.0,0.0001707067258449983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005121201775349949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015022191874359849,0.0015363605326049847,0.0003414134516899966,0.0059747354045749405,0.0005121201775349949,0.0,0.0006828269033799932,0.0001707067258449983,0.0,0.0,0.0,0.0003414134516899966,0.0,0.0,0.0030727210652099694,0.0,0.0,0.0,0.0,0.0,0.0
Hochdorf,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002934034803723189,0.0,0.0,0.0,0.0,0.0,0.00010117361392148928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003035208417644678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006171590449210846,0.0,0.0,0.0,0.0,0.0,0.00020234722784297855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006070416835289356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016288951841359773,0.0009105625252934035,0.00010117361392148928,0.0046539862403885066,0.00010117361392148928,0.0,0.0017199514366653178,0.0,0.0,0.0,0.0,0.000708215297450425,0.0,0.0,0.007486847430190206,0.0,0.0,0.0,0.0,0.0,0.0
Hohenrain,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004577611319184353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016645859342488557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033291718684977114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004161464835622139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013316687473990845,0.0012484394506866417,0.0,0.003745318352059925,0.0,0.0,0.0004161464835622139,0.0,0.0,0.0,0.0,0.0004161464835622139,0.0,0.0,0.0004161464835622139,0.0,0.0,0.0,0.0,0.0,0.0
Inwil,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004922377887163953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003786444528587656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006436955698599016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001135933358576297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018553578190079516,0.0007572889057175312,0.0003786444528587656,0.009844755774327906,0.0003786444528587656,0.0,0.0003786444528587656,0.0003786444528587656,0.0,0.0,0.0,0.0003786444528587656,0.0,0.0,0.004922377887163953,0.0,0.0,0.0,0.0,0.0,0.0
Rain,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021193924408336277,0.0,0.0,0.00035323207347227127,0.0,0.0,0.0035323207347227126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042387848816672555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017661603673613563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02260685270222536,0.001412928293889085,0.0010596962204168139,0.008124337689862239,0.0007064641469445425,0.0,0.0010596962204168139,0.0,0.0,0.0,0.0,0.00035323207347227127,0.0,0.0,0.003885552808194984,0.0,0.0,0.0,0.0,0.0,0.0
Rï¿½merswil,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044742729306487695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016778523489932886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005592841163310962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016778523489932886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010626398210290829,0.0005592841163310962,0.0,0.002796420581655481,0.0,0.0,0.0016778523489932886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022371364653243847,0.0,0.0,0.0,0.0,0.0,0.0
Rothenburg,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036467830164105238,0.0,0.0,0.00013024225058609013,0.0,0.0,0.00013024225058609013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039072675175827037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006121385777546236,0.0,0.0,0.0,0.0,0.0,0.00013024225058609013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001041938004688721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02031779109143006,0.0014326647564469914,0.00013024225058609013,0.012633498306850743,0.0005209690023443605,0.0,0.0015629070070330815,0.0,0.0,0.0,0.0,0.00039072675175827037,0.0,0.0,0.006772597030476686,0.0,0.0,0.0,0.0,0.0,0.0
Schongau,Luzern,Wahlkreis Hochdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011650485436893204,0.0,0.0,0.0,0.0,0.0,0.000970873786407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005825242718446602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01262135922330097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.0,0.0,0.007766990291262136,0.0,0.0,0.000970873786407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.0,0.0,0.0,0.0,0.0
Adligenswil,Luzern,Wahlkreis Luzern-Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018315018315018315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008241758241758242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018131868131868133,0.0016483516483516484,0.0009157509157509158,0.0062271062271062275,0.00018315018315018315,0.0,0.002014652014652015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002380952380952381,0.0,0.0,0.0,0.0,0.0,0.0
Buchrain,Luzern,Wahlkreis Luzern-Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029869517371482472,0.0,0.0,0.0,0.0,0.0,0.00031441597233139445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011633390976261595,0.0,0.0,0.0,0.0,0.0,0.00031441597233139445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015720798616569722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025153277786511555,0.0015720798616569722,0.00031441597233139445,0.011633390976261595,0.00031441597233139445,0.0,0.0018864958339883666,0.00015720798616569723,0.0,0.0,0.0,0.0007860399308284861,0.0,0.0,0.0051878635434680085,0.0,0.0,0.00015720798616569723,0.0,0.0,0.0
Dierikon,Luzern,Wahlkreis Luzern-Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006738544474393531,0.0,0.0,0.0013477088948787063,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0013477088948787063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006738544474393531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0026954177897574125,0.0006738544474393531,0.01954177897574124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006738544474393531,0.0,0.0,0.008086253369272238,0.0,0.0,0.0006738544474393531,0.0,0.0,0.0
Ebikon,Luzern,Wahlkreis Luzern-Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001083110693912918,0.0,0.0,0.0,0.0,0.0,0.0005776590367535563,0.0,0.0,7.220737959419453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054155534695645895,0.0,0.0,0.0,0.0,0.0,7.220737959419453e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001227525453101307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026283486172286808,0.002888295183767781,0.0005776590367535563,0.014730305437215683,0.0005054516571593617,0.0,0.0014441475918838904,0.0008664885551303343,0.0,0.0,0.0,0.00014441475918838906,0.0,0.0,0.00909812982886851,0.0,0.0,0.00014441475918838906,0.0,0.0,0.0
