Items,Filtering/Sorting/Scaling,Dimensionality Reduction, Clustering, JSON generation,Total Time
1000, 0.04, 0.01, 0.37, 0.04, 0.46
5000, 0.03, 0.3, 1.55, 0.24, 2.12
10000, 0.08, 0.42, 3.32, 0.6, 4.42
50000, 0.19, 0.58, 13.47, 3.29, 17.53
100000, 0.31, 0.9, 33.11, 6.9, 41.22
500000, 1.65, 10.65, 138.39, 36.16, 186.86
