Items,Filtering/Sorting/Scaling,Dimensionality Reduction, Clustering, JSON generation,Total Time
1000, 0.03, 0.01, 0.44, 0.05, 0.52
5000, 0.07, 0.43, 1.37, 0.22, 2.09
10000, 0.11, 0.41, 2.86, 0.44, 2.83
50000, 0.36, 0.63, 12.29, 2.38, 15.66
100000, 0.48, 0.98, 28.38, 5.37, 35.24
200000, 1.29, 1.15, 59.24, 11.11, 72.86
