"Abstimmungs_Datum","Nr_Politische_Ebene","Name_Politische_Ebene","Abstimmungs_Text","Nr_Resultat_Gebiet","Name_Resultat_Gebiet","Nr_Wahlkreis_StZH","Name_Wahlkreis_StZH","Stimmberechtigt","Ja","Nein","Stimmbeteiligung (%)","Ja (%)","Nein (%)","StaendeJa","StaendeNein"
"2024-03-03",2,"Kanton Zürich","Volksinitiative «Für öffentliche Uferwege mit ökologischer Aufwertung»",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,6400,6889,58.4,48.2,51.8,"",""
"2024-03-03",2,"Kanton Zürich","Volksinitiative «Für öffentliche Uferwege mit ökologischer Aufwertung»",3,"Stadt Zürich","","",235019.0,65589,65777,56.9,49.9,50.1,"",""
"2024-03-03",2,"Kanton Zürich","Volksinitiative «Für öffentliche Uferwege mit ökologischer Aufwertung»",2,"Kanton Zürich","","",933174.0,190752,339540,57.8,36.0,64.0,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",10,"Kreis 12",15652.0,1967,3615,40.5,35.2,64.8,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",9,"Kreis 11",37170.0,5364,12388,49.2,30.2,69.8,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",10,"Kreis 12",15652.0,1920,4479,42.4,30.0,70.0,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich","","",235019.0,70410,55757,55.7,55.8,44.2,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,7334,5422,57.4,57.5,42.5,"",""
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",2,"Kanton Zürich","","",968595.0,295576,271892,58.9,52.1,47.9,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",10,"Kreis 12",15652.0,3217,2610,41.3,55.2,44.8,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",9,"Kreis 11",37170.0,8632,7888,48.1,52.3,47.7,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",8,"Kreis 10",24317.0,6129,7532,60.3,44.9,55.1,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",7,"Kreis 9",31637.0,7382,7393,50.9,50.0,50.0,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,8658,9933,63.4,46.6,53.4,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",5,"Kreis 6",19466.0,4823,6734,63.6,41.7,58.3,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,4925,7293,53.2,40.3,59.7,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",3,"Kreis 3",27556.0,5820,7851,53.6,42.6,57.4,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,5656,6295,56.2,47.3,52.7,"",""
"2024-03-03",3,"Stadt Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder» (A.) als auch der Gegenvorschlag (B.) angenommen werden?",3,"Stadt Zürich","","",235019.0,55242,63529,54.6,46.5,53.5,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",10,"Kreis 12",15652.0,3794,2220,41.4,63.1,36.9,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",9,"Kreis 11",37170.0,11288,5507,48.1,67.2,32.8,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",8,"Kreis 10",24317.0,10020,3805,60.3,72.5,27.5,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",7,"Kreis 9",31637.0,10203,4912,51.0,67.5,32.5,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,13715,5061,63.2,73.0,27.0,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",5,"Kreis 6",19466.0,8817,2881,63.7,75.4,24.6,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,9438,3012,53.3,75.8,24.2,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",3,"Kreis 3",27556.0,10207,3677,53.7,73.5,26.5,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,8432,3425,54.9,71.1,28.9,"",""
"2024-03-03",3,"Stadt Zürich","B. Gegenvorschlag zur Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich","","",235019.0,85914,34500,54.5,71.3,28.7,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",10,"Kreis 12",15652.0,3825,2600,42.6,59.5,40.5,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",9,"Kreis 11",37170.0,10441,7211,49.0,59.1,40.9,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",8,"Kreis 10",24317.0,7911,6522,61.3,54.8,45.2,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",7,"Kreis 9",31637.0,9241,6647,52.2,58.2,41.8,"",""
"2024-03-03",3,"Stadt Zürich","A. Volksinitiative «Keine goldenen Fallschirme für abtretende Behördenmitglieder»",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,11216,8469,64.5,57.0,43.0,"",""
