Gemeinde,0-4 Jahre,5-9 Jahre,10-14 Jahre,15-19 Jahre,20-24 Jahre,25-29 Jahre,30-34 Jahre,35-39 Jahre,40-44 Jahre,45-49 Jahre,50-54 Jahre,55-59 Jahre,60-64 Jahre,65-69 Jahre,70-74 Jahre,75-79 Jahre,80-84 Jahre,85-89 Jahre,90-94 Jahre,95-99 Jahre,100 Jahre und mehr,Kanton,Bezirk,Sprachregion
,Youth,Youth,Youth,Youth,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Adults,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,Seniors,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Büsserach,0.04960835509138381,0.04699738903394256,0.04960835509138381,0.047867711053089644,0.07049608355091384,0.05352480417754569,0.0587467362924282,0.060922541340295906,0.06744995648389904,0.06309834638816363,0.09312445604873804,0.08137510879025239,0.0670147954743255,0.05483028720626632,0.047432550043516104,0.03655352480417755,0.023063533507397736,0.01610095735422106,0.010008703220191472,0.0013054830287206266,0.0008703220191470844,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Erschwil,0.04919786096256684,0.047058823529411764,0.053475935828877004,0.051336898395721926,0.06203208556149733,0.03636363636363636,0.07058823529411765,0.051336898395721926,0.052406417112299465,0.05668449197860963,0.0855614973262032,0.0962566844919786,0.0877005347593583,0.05561497326203209,0.044919786096256686,0.031016042780748664,0.02459893048128342,0.02459893048128342,0.016042780748663103,0.0021390374331550803,0.0010695187165775401,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Fehren,0.03289473684210526,0.049342105263157895,0.05592105263157895,0.07236842105263158,0.054276315789473686,0.039473684210526314,0.054276315789473686,0.05263157894736842,0.06907894736842106,0.08223684210526316,0.0756578947368421,0.10197368421052631,0.07401315789473684,0.029605263157894735,0.054276315789473686,0.046052631578947366,0.039473684210526314,0.013157894736842105,0.001644736842105263,0.001644736842105263,0.0,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Grindel,0.038461538461538464,0.04423076923076923,0.04807692307692308,0.03653846153846154,0.06538461538461539,0.04807692307692308,0.05,0.04807692307692308,0.051923076923076926,0.06346153846153846,0.09807692307692308,0.10384615384615385,0.1,0.05384615384615385,0.05576923076923077,0.028846153846153848,0.025,0.023076923076923078,0.013461538461538462,0.0038461538461538464,0.0,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Himmelried,0.029567053854276663,0.03590285110876452,0.04963041182682154,0.05174234424498416,0.042238648363252376,0.027455121436114043,0.04963041182682154,0.04751847940865892,0.05174234424498416,0.0908130939809926,0.09503695881731784,0.10770855332629356,0.0897571277719113,0.06863780359028511,0.06230200633579725,0.05174234424498416,0.024287222808870117,0.014783526927138331,0.008447729672650475,0.0010559662090813093,0.0,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Kleinlützel,0.04038772213247173,0.04765751211631664,0.03796445880452343,0.061389337641357025,0.061389337641357025,0.03715670436187399,0.04604200323101777,0.04604200323101777,0.050080775444264945,0.062197092084006464,0.09208400646203554,0.09531502423263329,0.0815831987075929,0.07108239095315025,0.05573505654281099,0.04281098546042003,0.03715670436187399,0.020193861066235864,0.011308562197092083,0.0008077544426494346,0.0016155088852988692,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Meltingen,0.05089820359281437,0.05239520958083832,0.041916167664670656,0.05389221556886228,0.05688622754491018,0.038922155688622756,0.05239520958083832,0.06736526946107785,0.06287425149700598,0.0658682634730539,0.09281437125748503,0.09730538922155689,0.07634730538922156,0.05389221556886228,0.04640718562874251,0.029940119760479042,0.02844311377245509,0.02245508982035928,0.0074850299401197605,0.0014970059880239522,0.0,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Nunningen,0.037954665260938325,0.047443331576172906,0.045861887190300474,0.061149182920400634,0.05113336847654191,0.048497627833421195,0.04691618344754876,0.05693199789140749,0.05798629414865577,0.06431207169214549,0.10173958882445967,0.08750658935160781,0.07854507116499737,0.06483921982076964,0.04797047970479705,0.03953610964681075,0.028993147074327884,0.023721665788086453,0.00790722192936215,0.0010542962572482868,0.0,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Zullwil,0.05417956656346749,0.047987616099071206,0.07430340557275542,0.06191950464396285,0.05727554179566564,0.034055727554179564,0.05263157894736842,0.06346749226006192,0.07894736842105263,0.07585139318885449,0.06656346749226007,0.0804953560371517,0.03715170278637771,0.0804953560371517,0.04024767801857585,0.04179566563467492,0.032507739938080496,0.01238390092879257,0.006191950464396285,0.0,0.0015479876160990713,Solothurn,Bezirk Thierstein,Deutsches Sprachgebiet
Basel,0.05035443797912626,0.04374480465502909,0.038047243003602106,0.03678881499953819,0.047525861272744066,0.07906737785166713,0.09333725870508913,0.08770319571441766,0.07230765678396602,0.06533434931190542,0.0702930174563591,0.06848619192758844,0.05671007666020135,0.0475720421169299,0.04263646439456913,0.03601528585942551,0.02848780825713494,0.020833333333333332,0.011181536898494505,0.0032037960653920755,0.0003694467534866537,Basel-Stadt,Kanton Basel-Stadt,Deutsches Sprachgebiet
Bettingen,0.04987102321582115,0.055030094582975066,0.055030094582975066,0.04557179707652623,0.05331040412725709,0.04815133276010318,0.034393809114359415,0.061049011177987965,0.05588993981083405,0.06276870163370593,0.08340498710232158,0.08426483233018056,0.06792777300085985,0.05588993981083405,0.05588993981083405,0.04815133276010318,0.04557179707652623,0.024935511607910577,0.007738607050730868,0.004299226139294927,0.0008598452278589854,Basel-Stadt,Kanton Basel-Stadt,Deutsches Sprachgebiet
Riehen,0.04536342020607021,0.05450137535549443,0.0568324863630006,0.0514709310457364,0.0409809315119586,0.03533964287379365,0.041074175952258846,0.055247330877896406,0.06517786376987272,0.06895426360203273,0.08009697421791226,0.08121590750151522,0.06680964147512705,0.05244999766888899,0.05459461979579468,0.05566693085924752,0.04279919809781342,0.03179635414238426,0.01510559932864003,0.004149377593360996,0.0003729777612009884,Basel-Stadt,Kanton Basel-Stadt,Deutsches Sprachgebiet
Aesch (BL),0.04200463499420626,0.0444186944766319,0.04828118964851294,0.04799150251062186,0.05320587099266126,0.05407493240633449,0.058999613750482814,0.06295867130166087,0.060544611819235226,0.06875241405948243,0.08275395905755117,0.07773271533410583,0.0660486674391657,0.05716492854383932,0.06141367323290846,0.04741212823483971,0.03534183082271147,0.020084974893781384,0.008980301274623407,0.0017381228273464658,9.656237929702588e-05,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Allschwil,0.054101469890943575,0.049359886201991464,0.04400189663347558,0.03916548127074443,0.04267425320056899,0.05557136083451873,0.06742532005689901,0.07515410146989095,0.07245139876718824,0.07354196301564722,0.07074442863916548,0.07121858700806069,0.059743954480796585,0.050213371266002844,0.05433854907539118,0.04551920341394026,0.03854907539118065,0.024324324324324326,0.009340919867235656,0.0021337126600284497,0.0004267425320056899,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Arlesheim,0.04094780519764141,0.04760864817645774,0.055579820921598605,0.05055689015068792,0.047827036470845165,0.03439615636601878,0.040074252020091725,0.05012011356191308,0.06256824634199606,0.06966586590958725,0.07796462109630924,0.08113125136492684,0.0692290893208124,0.06344179951954575,0.05885564533740992,0.05820048045424765,0.04466040620222756,0.030137584625464075,0.014522821576763486,0.0025114653854553396,0.0,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Biel-Benken,0.040851553509781355,0.053509781357882626,0.06214039125431531,0.06731875719217491,0.04602991944764097,0.025891829689298044,0.03394706559263521,0.05178365937859609,0.058400460299194476,0.08026467203682394,0.0949367088607595,0.07681242807825087,0.07479861910241657,0.058400460299194476,0.05897583429228999,0.05005753739930955,0.033659378596087454,0.023878020713463753,0.006329113924050633,0.0014384349827387803,0.0005753739930955121,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Binningen,0.04976888494902805,0.051731779902488444,0.04704615969100234,0.04027100614196163,0.04160070917495093,0.04799594757170898,0.06129297790160197,0.0687646425631609,0.07136072943709239,0.07104413347685684,0.07781928702589755,0.0748432849996834,0.05926676375609447,0.05109858798201735,0.0534413980877604,0.05204837586272399,0.040967517254479835,0.027100614196162855,0.009497878807066422,0.002659406065978598,0.0003799151522826569,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Birsfelden,0.04390337423312884,0.03949386503067485,0.041986196319018405,0.036330521472392636,0.046875,0.06758052147239264,0.07304447852760736,0.07486579754601227,0.06882668711656442,0.06681365030674846,0.07016871165644172,0.06988113496932516,0.056269171779141106,0.050421779141104295,0.05003834355828221,0.04975076687116564,0.04572469325153374,0.033358895705521474,0.011598926380368099,0.002971625766871166,9.585889570552147e-05,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Bottmingen,0.04953560371517028,0.05646469113961374,0.05395842547545334,0.04290137107474569,0.04024767801857585,0.04599734630694383,0.05071502285124576,0.068406309892378,0.06943830163644406,0.06634232640424591,0.0800530738611234,0.07327141382868937,0.059560666371811885,0.05425328025947221,0.05926581158779301,0.05513784461152882,0.04113224237063246,0.02152439923337756,0.008993070912575557,0.0028011204481792717,0.0,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Ettingen,0.0480014942099365,0.049869256630556594,0.04127754949570415,0.0500560328726186,0.05117669032499066,0.04501307433694434,0.05790063503922301,0.06705267090026149,0.06611878968995144,0.06611878968995144,0.08404930892790437,0.07732536421367202,0.06705267090026149,0.05790063503922301,0.057527082555098995,0.0519237952932387,0.03361972357116175,0.01942472917444901,0.007284273440418379,0.001307433694434068,0.0,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Münchenstein,0.0495703899537343,0.046265697290152015,0.04593522802379379,0.043704560475875745,0.06014540647719762,0.06212822207534699,0.06394580304031725,0.06435888962326504,0.062045604758757436,0.06774619960343688,0.08369134170522141,0.07881692002643755,0.06130204890945142,0.05031394580304032,0.04585261070720423,0.04130865829477859,0.03007270323859881,0.026107072042300065,0.013218770654329148,0.0031394580304031725,0.00033046926635822867,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Muttenz,0.049078726968174204,0.048408710217755446,0.04751535455053043,0.04567280848687884,0.05047459519821329,0.051423785594639865,0.060469011725293134,0.06487995533221663,0.06018983807928532,0.0670575097710776,0.07794528196538247,0.07370184254606366,0.06666666666666667,0.058235622557230596,0.05086543830262423,0.05175879396984925,0.03595756560580681,0.02501395868230039,0.011278615298715801,0.002959240647682859,0.00044667783361250696,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Oberwil (BL),0.04794581588093753,0.049371713751002584,0.05605561001693254,0.04910435790036539,0.04848052758221193,0.045539613225202745,0.04910435790036539,0.06229391319846716,0.0650565903217182,0.0758399429640852,0.08466268603511273,0.07485963817841547,0.06229391319846716,0.05400588182871402,0.05489706799750468,0.04705462971214687,0.037786293556724,0.02227965421976651,0.010605115408608859,0.002673558506371981,8.911861687906604e-05,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Pfeffingen,0.04094554664415365,0.044744617982271,0.061629379485014776,0.05149852258336851,0.048121570282819756,0.03292528493035036,0.03545799915576193,0.045588856057408186,0.05614183199662305,0.07640354579991558,0.0975094976783453,0.09413254537779654,0.08400168847615028,0.060785141409877584,0.06289573659772056,0.050232165470662726,0.030814689742507388,0.019417475728155338,0.005065428450823132,0.0016884761502743773,0.0,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Reinach (BL),0.03873624941348209,0.04441895625879777,0.047807726395912624,0.049215369375944944,0.05036233773004536,0.04280277357801992,0.049215369375944944,0.054950211146447006,0.06282258484959075,0.07199833168239403,0.08159115791668839,0.07929722120848756,0.06876596632083833,0.058495386059121,0.06078932276732183,0.05583650487461551,0.043845472081747563,0.02679735154580053,0.009905635785412648,0.002137531932641677,0.00020853970074552944,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Schönenbuch,0.0468417317246274,0.047551454932576294,0.0454222853087296,0.054648687012065295,0.0482611781405252,0.0411639460610362,0.0397444996451384,0.054648687012065295,0.061745919091554295,0.0688431511710433,0.085166784953868,0.09013484740951029,0.0823278921220724,0.057487579843860895,0.06529453513129879,0.044712562100780694,0.032647267565649396,0.0262597586941093,0.0056777856635912,0.0014194464158978,0.0,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Therwil,0.04234724742891712,0.04900181488203267,0.05283323250655374,0.05404315386166566,0.05827787860455737,0.04204476709013914,0.045372050816696916,0.055051421657592255,0.06170598911070781,0.06856221012300867,0.09124823553135712,0.07793910062512603,0.06331921758419036,0.05888283928211333,0.05575720911474088,0.05172413793103448,0.03710425489009881,0.023996773543053036,0.008671103044968743,0.002016535591853196,0.00010082677959265981,Basel-Landschaft,Bezirk Arlesheim,Deutsches Sprachgebiet
Blauen,0.04148783977110158,0.05150214592274678,0.044349070100143065,0.034334763948497854,0.04148783977110158,0.034334763948497854,0.06151645207439199,0.05722460658082976,0.060085836909871244,0.07868383404864092,0.07296137339055794,0.09155937052932761,0.08297567954220315,0.0844062947067239,0.06437768240343347,0.04148783977110158,0.03862660944206009,0.01430615164520744,0.004291845493562232,0.0,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Brislach,0.044082125603864736,0.04589371980676329,0.05314009661835749,0.06884057971014493,0.06763285024154589,0.042874396135265704,0.050120772946859904,0.057367149758454104,0.05676328502415459,0.09057971014492754,0.09842995169082126,0.09057971014492754,0.07004830917874397,0.050120772946859904,0.041666666666666664,0.03985507246376811,0.016304347826086956,0.00966183574879227,0.006038647342995169,0.0,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Burg im Leimental,0.036231884057971016,0.04710144927536232,0.057971014492753624,0.03260869565217391,0.03260869565217391,0.028985507246376812,0.028985507246376812,0.03985507246376811,0.08333333333333333,0.08695652173913043,0.09420289855072464,0.11956521739130435,0.07971014492753623,0.04710144927536232,0.057971014492753624,0.057971014492753624,0.036231884057971016,0.018115942028985508,0.014492753623188406,0.0,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Dittingen,0.022598870056497175,0.05649717514124294,0.052259887005649715,0.052259887005649715,0.0423728813559322,0.03389830508474576,0.043785310734463276,0.07203389830508475,0.062146892655367235,0.09887005649717515,0.0847457627118644,0.08333333333333333,0.07203389830508475,0.043785310734463276,0.07062146892655367,0.04943502824858757,0.026836158192090395,0.02401129943502825,0.005649717514124294,0.002824858757062147,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Duggingen,0.03749191984486102,0.053652230122818355,0.060116354234001294,0.05106658047834518,0.04848093083387201,0.049773755656108594,0.05235940530058177,0.04654169360051713,0.06334841628959276,0.08985132514544279,0.10536522301228184,0.08532643826761474,0.08403361344537816,0.06140917905623788,0.03749191984486102,0.027795733678086618,0.02068519715578539,0.017453135100193924,0.007110536522301228,0.0006464124111182935,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Grellingen,0.053981827899518976,0.039016568679850344,0.03687867450561197,0.052378407268840195,0.059326563335114914,0.053981827899518976,0.06253340459647247,0.07429182255478353,0.06520577231427044,0.07589524318546231,0.09192944949225014,0.0871191876002138,0.07429182255478353,0.05451630144307857,0.04489577765900588,0.03099946552645644,0.02351683591662213,0.010154997327632281,0.0085515766969535,0.0,0.0005344735435595938,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
Laufen,0.04182172603225235,0.045720361509835196,0.045188729399255716,0.05741626794258373,0.06025163919900762,0.07035264930001772,0.063264221158958,0.05723905723905724,0.05954279638490165,0.07247917774233564,0.07779549884813043,0.07956760588339536,0.059188374977848665,0.05599858231437179,0.052099946836788945,0.04022682970051391,0.031366294524189264,0.02002480949849371,0.009037745879851143,0.001417685628211944,0.0,Basel-Landschaft,Bezirk Laufen,Deutsches Sprachgebiet
