Anhänger_Anderer,Anhänger_Benzin,Anhänger_Benzin-elektrisch: Normal-Hybrid,Anhänger_Benzin-elektrisch: Plug-in-Hybrid,Anhänger_Diesel,Anhänger_Diesel-elektrisch: Normal-Hybrid,Anhänger_Diesel-elektrisch: Plug-in-Hybrid,Anhänger_Elektrisch,Anhänger_Gas (mono- und bivalent),Anhänger_Ohne Motor,Anhänger_Wasserstoff,Industriefahrzeuge_Anderer,Industriefahrzeuge_Benzin,Industriefahrzeuge_Benzin-elektrisch: Normal-Hybrid,Industriefahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Diesel,Industriefahrzeuge_Diesel-elektrisch: Normal-Hybrid,Industriefahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Elektrisch,Industriefahrzeuge_Gas (mono- und bivalent),Industriefahrzeuge_Ohne Motor,Industriefahrzeuge_Wasserstoff,Landwirtschaftsfahrzeuge_Anderer,Landwirtschaftsfahrzeuge_Benzin,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Diesel,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Elektrisch,Landwirtschaftsfahrzeuge_Gas (mono- und bivalent),Landwirtschaftsfahrzeuge_Ohne Motor,Landwirtschaftsfahrzeuge_Wasserstoff,Motorräder_Anderer,Motorräder_Benzin,Motorräder_Benzin-elektrisch: Normal-Hybrid,Motorräder_Benzin-elektrisch: Plug-in-Hybrid,Motorräder_Diesel,Motorräder_Diesel-elektrisch: Normal-Hybrid,Motorräder_Diesel-elektrisch: Plug-in-Hybrid,Motorräder_Elektrisch,Motorräder_Gas (mono- und bivalent),Motorräder_Ohne Motor,Motorräder_Wasserstoff,Personentransportfahrzeuge_Anderer,Personentransportfahrzeuge_Benzin,Personentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Diesel,Personentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Elektrisch,Personentransportfahrzeuge_Gas (mono- und bivalent),Personentransportfahrzeuge_Ohne Motor,Personentransportfahrzeuge_Wasserstoff,Personenwagen_Anderer,Personenwagen_Benzin,Personenwagen_Benzin-elektrisch: Normal-Hybrid,Personenwagen_Benzin-elektrisch: Plug-in-Hybrid,Personenwagen_Diesel,Personenwagen_Diesel-elektrisch: Normal-Hybrid,Personenwagen_Diesel-elektrisch: Plug-in-Hybrid,Personenwagen_Elektrisch,Personenwagen_Gas (mono- und bivalent),Personenwagen_Ohne Motor,Personenwagen_Wasserstoff,Sachentransportfahrzeuge_Anderer,Sachentransportfahrzeuge_Benzin,Sachentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Diesel,Sachentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Elektrisch,Sachentransportfahrzeuge_Gas (mono- und bivalent),Sachentransportfahrzeuge_Ohne Motor,Sachentransportfahrzeuge_Wasserstoff,Gemeinde,Kanton,Bezirk
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,48,7,2,11,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Aeugst am Albis,Zï¿½rich,Bezirk Affoltern
0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,110,9,3,42,2,0,13,0,0,0,0,1,0,0,15,0,0,0,0,0,0,Obfelden,Zï¿½rich,Bezirk Affoltern
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,61,6,2,30,2,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Stadel,Zï¿½rich,Bezirk Dielsdorf
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Doppleschwand,Luzern,Wahlkreis Entlebuch
0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,2,0,21,1,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,Entlebuch,Luzern,Wahlkreis Entlebuch
0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,20,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Flï¿½hli,Luzern,Wahlkreis Entlebuch
0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,2,0,10,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Hasle (LU),Luzern,Wahlkreis Entlebuch
0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,Romoos,Luzern,Wahlkreis Entlebuch
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,38,8,0,21,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,Schï¿½pfheim,Luzern,Wahlkreis Entlebuch
0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,4,0,10,0,0,1,0,0,0,0,0,0,0,14,0,0,1,0,0,0,Werthenstein,Luzern,Wahlkreis Entlebuch
