'link','name','country institution','origin','period','genre/type','Xml-tei','export?','completed','remark'
'https://git.hab.de/goermar/tagebuch-christian-ii-xml','Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg (1599-1656)','Germany','Germany','Medieval-Modern','diaries','yes','via gitlab','yes','https://github.com/i-d-e/ride/blob/master/issues/issue16/tagebuecher-christian-ii/tagebuecher-christian-ii.pdf'
'http://selbstzeugnisse.hab.de/edition/diarium/download','Digitale Edition des Diariums von Herzog August dem Jüngeren”','Germany','Germany','Medieval-Modern','diaries','yes','via link','yes','one large file'
'https://heidata.uni-heidelberg.de/dataset.xhtml?persistentId=doi:10.11588/data/DVU14P','Kommentierte digitale Edition der Reise- und Sammlungsbeschreibungen Philipp Hainhofers (1578-1647)','Germany','Germany','Medieval-Modern','diaries','yes','via zip-link',,
'https://libguides.nypl.org/african-american-women-writers-of-the-19th-Century','Schomburg Editions: African American Women Writers of the 19th century','USA','USA','Modern-Present','prose','not found','unknown',,'only pdf link found'
'https://github.com/faustedition/faust-xml','Historisch-kritische Faustedition','Germany','Germany','Modern','miscellaneous','yes','via github',,
'https://fontane-nb.dariah.eu/index.html','Theodor Fontanes Notizbücher','Germany','Germany','Modern','diaries','yes','each via page, couldn’t find repo or zip',,
'https://schopenhauer.uni.wroc.pl/Oraculo-Schopenhauer-Marginalia-1659.xml','Schopenhauer’s Library: Oraculo manual y arte de prudencia','Poland','Germany','Modern','prose','yes','via link',,'Only 1 document'
'https://github.com/msank/tarsian-tei/tree/master','Tarsian. Digital Edition of an Ancient New Testament Arabic Manuscript','Switzerland',,'Ancient','historical sources','yes','via github',,'3 documents: arabic original and french translation'
'https://github.com/gbergel/WJC/blob/master/WJC/WJC.xml','Wandering Jew’s Chronicle','Great Britain','Great Britain','Medieval-Modern','historical sources','yes','via github',,'different versions of the same ballad'
'https://github.com/cambridge-collection/darwin-correspondence-data/tree/main/xml/letters','Darwin Correspondence Project','Great Britain','Great Britain','Modern','letters','yes','via github',,
