Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
Volksinitiative vom 12 Dezember 2012 «Energie- statt Mehrwertsteuer»,2015-03-08,Citizens' initiative,taxation,indirect taxation,energy policy,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 5. November 2012 «Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen»,2015-03-08,Citizens' initiative,direct taxation,family policy,welfare,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 20.03.2013 «Rettet unser Schweizer Gold (Gold-Initiative),2014-11-30,Citizens' initiative,economy,national bank,monetary policy,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 02.11.2012 «Stopp der Überbevölkerung - zur Sicherung der natürlichen Lebensgrundlagen» (Ecopop),2014-11-30,Citizens' initiative,environment and living space,immigration policy,development cooperation,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 19.10.2012 «Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschaulbesteuerung),2014-11-30,Citizens' initiative,public finance,tax policy,financial system,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 23.05.2012 «Für eine öffentliche Krankenkasse»,2014-09-28,Citizens' initiative,social policy,social security,health and accident insurance,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 21.09.2011 «Schluss mit der MwSt-Diskriminierung des Gastgewerbers!»,2014-09-28,Citizens' initiative,economy,hospitality,indirect taxation,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 27.09.2013 über den Fonds zur Beschaffung des Kampfflugzeugs Gripen (Gripen-Fonds-Gesetz),2014-05-18,Optional referendum,security policy,army,public expenditure,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 23.01.2012 «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,2014-05-18,Citizens' initiative,economy,employment,employment conditions,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 20.04.2011 «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,2014-05-18,Citizens' initiative,legal system,criminal law,children and young people,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 19.09.2013 über die medizinische Grundversorgung (Direkter Gegenentwurf zur Volksinitiative «Ja zur Hausarztmedizin»),2014-05-18,Counter proposal,social policy,health,health policy,Top down,Binding,Official,Normal,Parliament
Volksinitiative «Gegen Masseneinwanderung»,2014-02-09,Citizens' initiative,immigration policy,EU,bilateral treaties,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,2014-02-09,Citizens' initiative,social policy,health policy,health and accident insurance,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Finanzierung und Ausbau der Eisenbahninfrastruktur (FABI),2014-02-09,Mandatory referendum,transport and infrastructure,rail transport,direct taxation,Automatic,Binding,Official,Normal,Constitution
"Änderung vom 22.03.2013 des Bundesgesetzes über die Abgabe für die Benützung von Nationalstrassen (Nationalstrassenabgabegesetz, NSAG) (Autobahnvignette)",2013-11-24,Optional referendum,public finance,indirect taxation,road construction,Bottom up,Binding,Official,Normal,Citizens
"Vollksinitiative «Familieninitiative: Steuerabzüge auch für Eltern, die ihre Kinder selber betreuen»",2013-11-24,Citizens' initiative,public finance,direct taxation,family policy,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «1:12 - Für gerechte Löhne»,2013-11-24,Citizens' initiative,economy,pricing policy,employment,Bottom up,Binding,Official,Normal,Citizens
"Änderung vom 14. Dezember 2012 des Bundesgesetzes über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz, ArG)",2013-09-22,Optional referendum,economy,employment,,Bottom up,Binding,Official,Normal,Citizens
"Budesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiengesetz, EpG)",2013-09-22,Optional referendum,civil protection,health policy,division of tasks,Bottom up,Binding,Official,Normal,Citizens
,2013-09-22,Citizens' initiative,security policy,army,abolition of the armed forces,Bottom up,Binding,Official,Normal,Citizens
Dringliche Änderungen des Asylgesetzes,2013-06-09,Optional referendum,social policy,social groups,refugees,Bottom up,Binding,Official,Urgent,Citizens
Volksinitiative «Volkswahl des Bundesrates»,2013-06-09,Citizens' initiative,state organisation,"government, administration",citizens' rights,Bottom up,Binding,Official,Normal,Citizens
Änderung des Raumplanungsgesetzes (RPG),2013-03-03,Optional referendum,soil,spatial planning,division of tasks,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «gegen die Abzockerei»,2013-03-03,Citizens' initiative,economic policy,structural policy,employment conditions,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 15. Juni 2012 über die Familienpolitik,2013-03-03,Mandatory referendum,family policy,employment policy,education policy,Automatic,Binding,Official,Normal,Constitution
Änderung des Tierseuchengesetzes (TSG),2012-11-25,Optional referendum,agriculture,animal protection,territorial questions,Bottom up,Binding,Official,Normal,Citizens
Volksintiative vom 18. Mai 2010 «Schutz vor Passivrauchen»,2012-09-23,Citizens' initiative,health policy,addictive substances,employment conditions,Bottom up,Binding,Official,Normal,Citizens
Eidegenössische Volksinitiative vom 23.07.2009 «Sicheres Wohnen im Alter»,2012-09-23,Citizens' initiative,direct taxation,"building of residential housing, property ownership",senior citizens,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Jungedmusikförderung (Gegenentwurf zur zurückgezogenen Volksinitiative «jugend + musik»,2012-09-23,Counter proposal,education and research,education policy,children and young people,Top down,Binding,Official,Normal,Parliament
Änderung vom 30.09.2011 des Bundesgesetzes über die Krankenversicherung (KVG) (Managed Care),2012-06-17,Optional referendum,health policy,social security,health and accident insurance,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 11.08.2009 «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!),2012-06-17,Citizens' initiative,citizens' rights,referendum,foreign policy,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Eigene vier Wände dank Bausparen»,2012-06-17,Citizens' initiative,housing,"building of residential housing, property ownership",tax policy,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz 18.03.2011 über die Buchpreisbindung (BuPG),2012-03-11,Optional referendum,economic policy,pricing policy,cultural policy,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 29. September 2011 über die Regelung der Geldspiele zugunsten gemeinnütziger Zwecke (Gegenentwurf zur Volksinitiative 'Für Geldspiele im Dienste des Gemeinwohls'),2012-03-11,Counter proposal,lottery and gambling,public finance,consumer protection,Top down,Binding,Official,Normal,Parliament
Volksinitiative «6 Wochen Ferien für alle»,2012-03-11,Citizens' initiative,employment conditions,working hours,health,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Für ein steuerlich begünstigtes Bausparen zum Erwerb von selbst genutztem Wohneigentum und zur Finanzierung von baulichen Energiespar- und Umweltschutzmassnahmen (Bauspar-Initiative)»,2012-03-11,Citizens' initiative,public finance,tax policy,budget cuts and remediation measures,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen»,2012-03-11,Citizens' initiative,environment and living space,housing,spatial planning,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative ""Für den Schutz vor Waffengewalt""",2011-02-13,Citizens' initiative,armed forces in general,public security,,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative ""Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewrb (Steuergerechtigkeits-Initiative)""",2010-11-28,Citizens' initiative,tax policy,tax system,direct taxation,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschlus vom 10. Juni 2010 über die Aus- und Wegweisung krimineller Ausländerinnen und Ausländer im Rahmen der Bundesverfassung (Gegenentwurf),2010-11-28,Counter proposal,fundamental rights,immigration policy,cultural policy,Top down,Binding,Official,Normal,Parliament
"Volksinitiative ""Für die Ausschaffung krimineller Ausländer (Ausschaffungsinititative)""",2010-11-28,Citizens' initiative,fundamental rights,immigration policy,cultural policy,Bottom up,Binding,Official,Normal,Citizens
Revision des Arbeitslosenversicherungsgesetzes,2010-09-26,Optional referendum,unemployment insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Änderung vom 19.12.2008 über das Bundesgesetzes über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Mindestumwandlungssatz)",2010-03-07,Optional referendum,pension insurance,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 26.07.2007 'Gegen Tierquälerei und für einen besseren Rechtsschutz der Tiere (Tierschutzanwalt-Initiative)',2010-03-07,Citizens' initiative,animal protection,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 25.09.2009 zu einem Verfassungsartikel über die Forschung am Menschen,2010-03-07,Mandatory referendum,research,universities,,Automatic,Binding,Official,Normal,Constitution
"Volksinitiative vom 08.07.2008 ""Gegen den Bau von Minaretten""",2009-11-29,Citizens' initiative,fundamental rights,"religion, churches",,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative vom 21.09.2007 ""Für ein Verbot von Kriegsmaterial-Exporten""",2009-11-29,Citizens' initiative,arms,foreign trade policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 03.10.2008 zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr,2009-11-29,Mandatory referendum,air transport,tax policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 19.12.2008 über den Verzicht auf die Einführung der allgemeinen Volksinitiative,2009-09-27,Mandatory referendum,citizens' rights,citizens' initiatives,,Automatic,Binding,Official,Normal,Constitution
"Bundesbeschluss vom 13.06.2008 über eine befristete Zusatzfinanzierung der Invalidenversicherung durch Anhebung der Mehrwertsteuersätze, geändert durch den Bundesbeschluss vom 12.06.2009 über die Änderung dieses Beschlusses",2009-09-27,Mandatory referendum,financial system,disability insurance,indirect taxation,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 13.06.2008 über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der Europäischen Gemeinschaft betreffend die Übernahme der Verordnung (EG) Nr. 2252/2004 über biometrische Pässe und Reisedokumente (Weiterentwicklung des Schengen-Besitzstands),2009-05-17,Optional referendum,data protection,bilateral treaties,citizenship,Bottom up,Binding,Official,Normal,Citizens
Verfassungsartikel vom 03.10.2008 'Zukunft mit Komplementärmedizin',2009-05-17,Counter proposal,health policy,health,health and accident insurance,Top down,Binding,Official,Normal,Parliament
Bundesbeschluss vom 13.06.2008 über die Genehmigung der Weiterführung des Freizügigkeitsabkommens zwischen der Schweiz und der Europäischen Gemeinschaft und ihren Mitgliedstaaten sowie über die Genehmigung und die Umsetzung des Protokolls über die Ausdehnung des Freizügigkeitsabkommens auf Bulgarien und Rumänien,2009-02-08,Optional referendum,EU,bilateral treaties,employment,Bottom up,Binding,Official,Normal,Citizens
"Änderung vom 20.03.2008 des Bundesgesetzes über die Betäubungsmittel und die psychotropen Stoffe (Betäubungsmittelgesetz, BetmG)",2008-11-30,Optional referendum,addictive substances,children and young people,criminal law,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 13.01.2006 'für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz',2008-11-30,Citizens' initiative,addictive substances,children and young people,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 11.05.2006 'Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!',2008-11-30,Citizens' initiative,environment,legal system,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 28.03.2006 'Für ein flexibles AHV-Alter',2008-11-30,Citizens' initiative,pension insurance,senior citizens,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 01.03.2006 'für die Unverjährbarkeit pornografischer Straftaten an Kindern',2008-11-30,Citizens' initiative,criminal law,children and young people,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 11.08.2004 'Volkssouveränität statt Behördenpropaganda',2008-06-01,Citizens' initiative,citizens' rights,"government, administration",media and communication,Bottom up,Binding,Official,Normal,Citizens
Verfassungsartikel vom 21.12.2007 'Für Qualität und Wirtschaftlichkeit in der Krankenversicherung',2008-06-01,Counter proposal,health and accident insurance,,,Top down,Binding,Official,Normal,Parliament
Volksinitiative vom 18.11.2005 'für demokratische Einbürgerungen',2008-06-01,Citizens' initiative,citizenship,citizens' rights,immigration policy,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 23.03.2007 über die Verbesserung der steuerlichen Rahmenbedingungen für unternehmerische Tätigkeiten und Investitionen (Unternehmenssteuerreformgesetz II),2008-02-24,Optional referendum,tax policy,direct taxation,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 03.11.2005 'Gegen Kampfjetlärm in Tourismusgebieten',2008-02-24,Citizens' initiative,noise protection,tourism,army,Bottom up,Binding,Official,Normal,Citizens
Änderung vom 6.10.2006 des Bundesgesetzes über die Invalidenversicherung (IVG),2007-06-17,Optional referendum,disability insurance,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 09.12.2004 'Für eine soziale Einheitskrankenkasse',2007-03-11,Citizens' initiative,health and accident insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz vom 24.03.2006 über die Familienzulagen (Familienzulagengesetz, FamZG)",2006-11-26,Optional referendum,family policy,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 24.03.2006 über die Zusammenarbeit mit den Staaten Osteuropas,2006-11-26,Optional referendum,EU,,,Bottom up,Binding,Official,Normal,Citizens
Aenderung vom 16.12.2005 des Asylgesetzes (AsylG),2006-09-24,Optional referendum,refugees,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz vom 16.12.2005 über die Ausländerinnen und Ausländer (AuG),2006-09-24,Optional referendum,immigration policy,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 09.10.2002 'Nationalbankgewinne für die AHV',2006-09-24,Citizens' initiative,pension insurance,monetary policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 16.12.2005 über die Neuordnung der Verfassungsbestimmungen zur Bildung,2006-05-21,Mandatory referendum,education policy,schools,universities,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz über die Arbeit in Industrie, Gewerbe und Handel (Arbeitsgesetz)",2005-11-27,Optional referendum,employment conditions,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»,2005-11-27,Citizens' initiative,agricultural policy,genetic engineering,environmental policy,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Genehmigung und Umsetzung des Protokolls über die Ausdehnung des Freizügigkeitsabkommens auf die neuen EG-Mitgliedstaaten zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft und ihren Mitgliedstaaten andererseits sowie über die Genehmigung der Revision der flankierenden Massnahmen zur Personenfreizügigkeit,2005-09-25,Optional referendum,EU,employment conditions,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz vom 18.06.2004 über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz, PartG)",2005-06-05,Optional referendum,private law,homosexuals,fundamental rights,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 17.12.2004 über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und an Dublin,2005-06-05,Optional referendum,EU,police,refugees,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 19.03.2004 über eine neue Finanzordnung,2004-11-28,Mandatory referendum,financial system,tax system,,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz vom 19.12.2003 über die Forschung an embryonalen Stammzellen (Stammzellenforschungsgesetz, StFG)",2004-11-28,Optional referendum,research,reproductive medicine,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 03.10.2003 zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA),2004-11-28,Mandatory referendum,intergovernmental relations,financial system,,Automatic,Binding,Official,Normal,Constitution
"Änderung vom 03.10.2003 des Bundesgesetzes über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildienst und Zivilschutz (Erwerbsersatzgesetz, EOG)",2004-09-26,Optional referendum,maternity insurance,status of women,compensation for loss of earnings for persons on military service or civil protection duty,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative vom 26.04.2002 'Postdienste für alle',2004-09-26,Citizens' initiative,post,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 03.10.2003 über den Bürgerrechtserwerb von Ausländerinnen und Ausländern der dritten Generation,2004-09-26,Mandatory referendum,citizenship,immigration policy,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 03.10.2003 über die ordentliche Einbürgerung sowie über die erleichterte Einbürgerung junger Ausländerinnen und Ausländer der zweiten Generation,2004-09-26,Mandatory referendum,citizenship,immigration policy,,Automatic,Binding,Official,Normal,Constitution
"Bundesgesetz vom 20.06.2003 über die Änderung von Erlassen im Bereich der Ehe- und Familienbesteuerung, der Wohneigentumsbesteuerung und der Stempelabgaben",2004-05-16,Optional referendum,tax policy,family policy,"building of residential housing, property ownership",Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss vom 03.10.2003 über die Finanzierung der AHV/IV durch Anhebung der Mehrwertsteuersätze,2004-05-16,Mandatory referendum,pension insurance,indirect taxation,,Automatic,Binding,Official,Normal,Constitution
Aenderung vom 03.10.2003 des Bundesgesetzes über die Alters- und Hinterlassenenversicherung (AHVG) (11. AHV-Revision),2004-05-16,Optional referendum,pension insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Gegenentwurf der Bundesversammlung vom 03.10.2003 zur zurückgezogenen Volksinitiative ""Avanti - für sichere und leistungsfähige Autobahnen""",2004-02-08,Counter proposal,urban transport,road construction,,Top down,Binding,Official,Normal,Parliament
"Volksinitiative vom 03.05.2000 ""Lebenslange Verwahrung für nicht therapierbare, extrem gefährliche Sexual- und Gewaltstraftäter""",2004-02-08,Citizens' initiative,criminal law,public security,,Bottom up,Binding,Official,Normal,Citizens
Änderung vom 13.12.2002 des Obligationenrechts (Miete),2004-02-08,Optional referendum,tenancy issues,private law,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für ein ausreichendes Berufsbildungsangebot (Lehrstellen-Initiative)',2003-05-18,Citizens' initiative,professional and vocational education,children and young people,employment policy,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Moratorium Plus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos (MoratoriumPlus)',2003-05-18,Citizens' initiative,nuclear energy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Strom ohne Atom - Für eine Energiewende und schrittweise Stilllegung der Atomkraftwerke (Strom ohne Atom)',2003-05-18,Citizens' initiative,nuclear energy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Gleiche Rechte für Behinderte',2003-05-18,Citizens' initiative,persons with disabilities,fundamental rights,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Gesundheit muss bezahlbar bleiben (Gesundheitsinitiative)',2003-05-18,Citizens' initiative,health and accident insurance,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre (Sonntags-Initiative)',2003-05-18,Citizens' initiative,road transport,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Ja zu fairen Mieten',2003-05-18,Citizens' initiative,tenancy issues,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über den Bevölkerungsschutz und den Zivilschutz (Bevölkerungs- und Zivilschutzgesetz, BZG)",2003-05-18,Optional referendum,civil protection,,,Bottom up,Binding,Official,Normal,Citizens
"Bundesgesetz über die Armee und die Militärverwaltung (Militärgesetz, MG), Aenderung",2003-05-18,Optional referendum,military organisation,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Anpassung der kantonalen Beiträge für die innerkantonalen stationären Behandlungen nach dem Bundesgesetz über die Krankenversicherung,2003-02-09,Optional referendum,health and accident insurance,,,Bottom up,Binding,Official,Urgent,Citizens
Bundesbeschluss über die Aenderung der Volksrechte,2003-02-09,Mandatory referendum,citizens' initiatives,,,Automatic,Binding,Official,Normal,Constitution
"Aenderung des Bundesgesetzes über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz, AVIG)",2002-11-24,Optional referendum,refugees,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'gegen Asylrechtsmissbrauch',2002-11-24,Citizens' initiative,unemployment insurance,,,Bottom up,Binding,Official,Normal,Citizens
"Gegenentwurf der Bundesversammlung Gold für AHV, Kantone und Stiftung",2002-09-22,Counter proposal,monetary policy,pension insurance,,Top down,Binding,Official,Normal,Parliament
Elektrizitätsmarktgesetz (EMG),2002-09-22,Optional referendum,energy policy,,,Bottom up,Binding,Official,Normal,Citizens
"Volksinitiative 'Überschüssige Goldreserven in den AHV-Fonds (Goldinitiative)' und über den Gegenentwurf 'Gold für AHV, Kantone und Stiftung'",2002-09-22,Citizens' initiative,monetary policy,pension insurance,intergovernmental relations,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für Mutter und Kind - für den Schutz des ungeborenen Kindes und für die Hilfe an seine Mutter in Not',2002-06-02,Citizens' initiative,criminal law,fundamental rights,status of women,Bottom up,Binding,Official,Normal,Citizens
Aenderung des Schweizerischen Strafgesetzbuches (Schwangerschaftsabbruch),2002-06-02,Optional referendum,criminal law,status of women,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für eine kürzere Arbeitszeit',2002-03-03,Citizens' initiative,working hours,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)',2002-03-03,Citizens' initiative,UN,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine Kapitalgewinnsteuer',2001-12-02,Citizens' initiative,direct taxation,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Solidarität schafft Sicherheit: Für einen freiwilligen Zivilen Friedensdienst (ZFD)',2001-12-02,Citizens' initiative,"conscientious objection, civilian service",,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee',2001-12-02,Citizens' initiative,abolition of the armed forces,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine gesicherte AHV - Energie statt Arbeit besteuern!',2001-12-02,Citizens' initiative,energy policy,indirect taxation,pension insurance,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über eine Schuldenbremse,2001-12-02,Mandatory referendum,public expenditure,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss vom 15. Dezember 2000 über die Aufhebung der Genehmigungspflicht für die Errichtung von Bistümern,2001-06-10,Mandatory referendum,"religion, churches",,,Automatic,Binding,Official,Normal,Constitution
"Aenderung vom 06.10.2000 des Bundesgesetzes über die Armee und die Militärverwaltung (Militärgesetz, MG) (Ausbildungszusammenarbeit)",2001-06-10,Optional referendum,military training,international deployment,,Bottom up,Binding,Official,Normal,Citizens
"Aenderung vom 06.10.2000 des Bundesgesetzes über die Armee und die Militärverwaltung (Militärgesetz, MG) (Bewaffnung)",2001-06-10,Optional referendum,armed forces in general,international deployment,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen (Strassen für alle)',2001-03-04,Citizens' initiative,road transport,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für tiefere Arzneimittelpreise',2001-03-04,Citizens' initiative,medicines,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'Ja zu Europa',2001-03-04,Citizens' initiative,EU,,,Bottom up,Binding,Official,Normal,Citizens
Bundespersonalgesetz (BPG),2000-11-26,Optional referendum,"government, administration",,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für tiefere Spitalkosten',2000-11-26,Citizens' initiative,health policy,health and accident insurance,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Sparen beim Militär und der Gesamtverteidigung - für mehr Frieden und zukunftsgerichtete Arbeitsplätze (Umverteilungsinitiative)',2000-11-26,Citizens' initiative,armed forces in general,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für ein flexibles Rentenalter ab 62 für Frau und Mann',2000-11-26,Citizens' initiative,pension insurance,status of women,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine Flexibilisierung der AHV - gegen die Erhöhung des Rentenalters für Frauen',2000-11-26,Citizens' initiative,pension insurance,status of women,,Bottom up,Binding,Official,Normal,Citizens
Gegenentwurf (Verfassungsartikel über eine Förderabgabe für erneuerbare Energien),2000-09-24,Counter proposal,alternative energy,indirect taxation,environmental policy,Top down,Binding,Official,Normal,Parliament
Verfassungsartikel über eine Energielenkungsabgabe für die Umwelt (Gegenentwurf zur zurückgezogenen 'Energie-Umwelt-Initiative'),2000-09-24,Counter proposal,energy policy,indirect taxation,environmental policy,Top down,Binding,Official,Normal,Parliament
Volksinitiative 'für einen Solarrappen (Solar-Initiative)' und Gegenentwurf (Verfassungsartikel über eine Förderabgabe für erneuerbare Energien),2000-09-24,Citizens' initiative,alternative energy,indirect taxation,environmental policy,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'Mehr Rechte für das Volk dank dem Referendum mit Gegenvorschlag (Konstruktives Referendum)',2000-09-24,Citizens' initiative,referendum,,,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative 'für eine Regelung der Zuwanderung',2000-09-24,Citizens' initiative,immigration policy,,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Genehmigung der sektoriellen Abkommen zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft sowie gegebenenfalls ihren Mitgliedstaaten oder der Europäischen Atomgemeinschaft andererseits,2000-05-21,Optional referendum,EU,,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)',2000-03-12,Citizens' initiative,transport policy,environmental policy,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'zum Schutze des Menschen vor Manipulationen in der Fortpflanzungstechnologie (Initiative für menschenwürdige Fortpflanzung [FMF])',2000-03-12,Citizens' initiative,reproductive medicine,research,,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für eine gerechte Vertretung der Frauen in den Bundesbehörden (Initiative 3. März)',2000-03-12,Citizens' initiative,status of women,institutions,electoral system,Bottom up,Binding,Official,Normal,Citizens
Eidgenössische Volksinitiative 'für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)',2000-03-12,Citizens' initiative,citizens' initiatives,procedure for constitutional reform,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss über die Reform der Justiz,2000-03-12,Mandatory referendum,courts,,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz über die Mutterschaftsversicherung,1999-06-13,Optional referendum,maternity insurance,status of women,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Invalidenversicherung,1999-06-13,Optional referendum,disability insurance,persons with disabilities,,Bottom up,Binding,Official,Normal,Citizens
