Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
Bundesbeschluss betreffend Ergänzung der Bundesverfassung vom 29. Mai 1874 durch einen Zusatz bezüglich des Gesetzgebungsrechtes über Unfall- und Krankenversicherung,1890-10-26,Mandatory referendum,health and accident insurance,,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz über Schuldbetreibung und Konkurs,1889-11-17,Optional referendum,economic policy,private law,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend Ergänzung des Artikels 64 der Bundesverfassung vom 29. Mai 1874,1887-07-10,Mandatory referendum,competition policy,,,Automatic,Binding,Official,Normal,Constitution
Bundesgesetz betreffend gebrannte Wasser,1887-05-15,Optional referendum,addictive substances,indirect taxation,crop production,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend teilweise Aenderung der Bundesverfassung der schweizerischen Eidgenossenschaft (Wirtschaftswesen und Alkoholfrage),1885-10-25,Mandatory referendum,addictive substances,indirect taxation,crop production,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend Gewährung eines Beitrags von 10'000 Franken an die Kanzleikosten der schweizerischen Gesandtschaft in Washington,1884-05-11,Optional referendum,foreign policy,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend die Ergänzung des Bundesstrafrechtes vom 4. Februar 1853,1884-05-11,Optional referendum,criminal law,intergovernmental relations,state security,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend die Patenttaxen der Handelsreisenden,1884-05-11,Optional referendum,intergovernmental relations,structural policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz betreffend die Organisation des eidgenössischen Justiz- und Polizeidepartements,1884-05-11,Optional referendum,"government, administration",legislative procedure,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend die Vollziehung des Artikels 27 der Bundesverfassung (Unterrichtswesen),1882-11-26,Optional referendum,schools,intergovernmental relations,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez betreffend Massnahmen gegen gemeingefährliche Epidemien,1882-07-30,Optional referendum,health policy,intergovernmental relations,,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend den Erfindungsschutz,1882-07-30,Mandatory referendum,competition policy,,,Automatic,Binding,Official,Normal,Constitution
Bundesbeschluss betreffend den durch das Volksbegehren vom 3. August 1880 gestellten Antrag auf Revision der Bundesverfassung,1880-10-31,Mandatory referendum,monetary policy,intergovernmental relations,national bank,Bottom up,Binding,Official,Normal,Citizens
Bundesbeschluss betreffend Abänderung von Artikel 65 der Bundesverfassung (Todesstrafe),1879-05-18,Mandatory referendum,fundamental rights,criminal law,,Automatic,Binding,Official,Normal,Constitution
Bundesgesez betreffend Gewährung von Subsidien für Alpenbahnen,1879-01-19,Optional referendum,rail transport,,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez betreffend den Militärpflichtersaz,1877-10-21,Optional referendum,armed forces in general,direct taxation,intergovernmental relations,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez betreffend die politischen Rechte der Niedergelassenen und Aufenthalter und den Verlust der politischen Rechte der Schweizerbürger,1877-10-21,Optional referendum,voting rights,fundamental rights,federalism,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez betreffend die Arbeit in den Fabriken,1877-10-21,Optional referendum,employment conditions,children and young people,status of women,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez betreffend die Militärpflichtersatzsteuer,1876-07-09,Optional referendum,armed forces in general,direct taxation,intergovernmental relations,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez über die Ausgabe und Einlösung von Banknoten,1876-04-23,Optional referendum,monetary policy,intergovernmental relations,national bank,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez über die politische Stimmberechtigung der Schweizerbürger,1875-05-23,Optional referendum,voting rights,fundamental rights,federalism,Bottom up,Binding,Official,Normal,Citizens
Bundesgesez betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,1875-05-23,Optional referendum,private law,"religion, churches",intergovernmental relations,Bottom up,Binding,Official,Normal,Citizens
Totalrevision,1874-04-19,Mandatory referendum,constitution,intergovernmental relations,,Bottom up,,Official,Normal,Citizens
Totalrevision,1872-05-12,Mandatory referendum,constitution,intergovernmental relations,,Bottom up,,Official,Normal,Citizens
Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,1866-01-14,Mandatory referendum,tax system,fundamental rights,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Glaubens- und Kultusfreiheit,1866-01-14,Mandatory referendum,"religion, churches",fundamental rights,,Automatic,Binding,Official,Normal,Constitution
Verbot der Lotterie und Hasardspiele,1866-01-14,Mandatory referendum,structural policy,lottery and gambling,,Automatic,Binding,Official,Normal,Constitution
Schutz des geistigen Eigentums,1866-01-14,Mandatory referendum,competition policy,cultural policy,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Ausschluss einzelner Strafarten,1866-01-14,Mandatory referendum,criminal law,intergovernmental relations,fundamental rights,Automatic,Binding,Official,Normal,Constitution
Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,1866-01-14,Mandatory referendum,voting rights,fundamental rights,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Stimmrecht der Niedergelassenen in Gemeindesachen,1866-01-14,Mandatory referendum,voting rights,fundamental rights,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Gleichstellung der Bürger im Bezug auf Niederlassung und Gesezgebung,1866-01-14,Mandatory referendum,"religion, churches",fundamental rights,intergovernmental relations,Automatic,Binding,Official,Normal,Constitution
Mass und Gewicht,1866-01-14,Mandatory referendum,intergovernmental relations,,,Automatic,Binding,Official,Normal,Constitution
Totalrevision vom 12. September 1848,1848-06-06,Mandatory referendum,constitution,intergovernmental relations,,Bottom up,,Official,Normal,Citizens
Verfassung; Liste der Senatoren,1802-05-25,Mandatory referendum,state organisation,political system,constitution,Automatic,,Official,Normal,Constitution
Verfassung,1798-04-12,Governmental referendum,state organisation,political system,constitution,Top down,,Official,Normal,
Anschluss an Frankreich,1793-03-06,Not provided,state organisation,,,Top down,,Official,Normal,
